id,title,synopsis
971,The Butterfly Effect,"a young man struggles to access sublimated childhood memories. he finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. however, he soon finds that every change he makes has unexpected consequences."
985,The Grudge 3,"jake kimble, the sole survivor of the chicago massacre, is killed while in solitary confinement. his doctor begins investigating the claims he made about a long-haired woman in white, as a mysterious japanese woman arrives at his old apartment building to help them get rid of the curse."
1007,Hard Target,"when a woman's father goes missing, she enlists a local to aid in her search.  the pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation."
1024,The Gift,"when a local woman disappears and the police can't seem to find any leads, her father turns to a poor young woman with psychic powers. slowly she starts having visions of the woman chained and in a pond. her visions lead to the body and the arrest of an abusive husband, but did he really do it?"
1075,Days of Thunder,"talented but unproven stock car driver cole trickle gets a break and with the guidance of veteran harry hogge turns heads on the track. the young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. but with the help of his doctor, cole just might overcome his injuries-- and his fear."
1090,One Night at McCool's,every man has a different recollection of the beautiful young woman who wreaked havoc on their lives during one heated night.
1106,Liberty Stands Still,"as the heir and current marketing director for one of the nation's biggest gun manufacturers, liberty wallace is indifferent to the atrocities made possible through her business and her ceo husband, victor. on her way to see her actor lover, liberty ends up chained to a food cart full of explosives -- all at the insistence of ""joe"", a sniper whose young daughter was a victim of gun violence, and who now has liberty in his sights."
1123,Lassie Come Home,"hard times come for the carraclough family and they are forced to sell their dog, lassie, to the rich duke of rudling. lassie, however, is unwilling to remain apart from young carraclough son joe and sets out on a long and dangerous journey to rejoin him."
1161,Inkheart,"the adventures of a father and his young daughter, in their search for a long lost book that will help reunite a missing, close relative."
1164,Prime,"a career driven professional from manhattan is wooed by a young painter, who also happens to be the son of her psychoanalyst."
1174,Leningrad,"when in 1941 nazi germany invaded the soviet union, their troops quickly besieged leningrad. foreign journalists are evacuated but one of them, kate davies, is presumed dead and misses the plane. alone in the city she is helped by nina tsvetnova a young and idealist police officer and together they will fight for their own survival and the survival of the people in the besieged leningrad. written by marcio eduardo"
1176,Holy Matrimony,a young hutterite boy must marry his late brother's wife who comes from outside the community.
1209,The Diary of Anne Frank,"the true, harrowing story of a young jewish girl who, with her family and their friends, is forced into hiding in an attic in nazi-occupied amsterdam."
1248,Esther,"king of the persians,  summons his attractive wife vashti, to show off her beauty to the guests, the proud queen refuses to come. the king promptly bans her from ever entering his presence again, and gives orders for the most beautiful young virgins in the land to be brought to him. the young jewess esther, adopted daughter of her uncle mordecai, is among the girls selected;"
1265,The Lodger: A Story of the London Fog,"london. a mysterious serial killer brutally murders young blond women by stalking them in the night fog. one foggy, sinister night, a young man who claims his name is jonathan drew arrives at the guest house run by the bunting family and rents a room."
1267,Young and Innocent,"robert tisdall finds on the beach the corpse of a woman he knew. others wrongly conclude that he is the murderer. fleeing, he desperately attempts to prove that he is not the killer. a young woman becomes embroiled in the effort."
1281,My Boss's Daughter,"when a young man agrees to housesit for his boss, he thinks it'll be the perfect opportunity to get close to the woman he desperately has a crush on – his boss's daughter. but he doesn't plan on the long line of other houseguests that try to keep him from his mission. and he also has to deal with the daughter's older brother, who's on the run from local drug dealers."
1302,Frankenstein,"frankenstein, a young medical student, trying to create the perfect human being, instead creates a misshapen monster. made ill by what he has done, frankenstein is comforted by his fiancée; but on his wedding night he is visited by the monster."
